País,Localização,Coordenadas geográficas,Referências do mapa,Área total,Área terrestre,Área aquática,Clima
Afeganistão,"Sul da Ásia, norte e oeste do Paquistão, leste do Irã","33.0, 65.0",Ásia,652230,652230.0,0.0,árido para semiário;invernos frios e verões quentes
Austrália,"Oceania, continente entre o Oceano Índico e o Oceano Pacífico Sul","-27.0, 133.0",Oceânia,7741220,7682300.0,58920.0,geralmente árido para semiário;temperado no sul e leste;tropical no norte
Azerbaijão,"O sudoeste da Ásia, na fronteira com o Mar Cáspio, entre o Irã e a Rússia, com uma pequena porção européia ao norte da cordilheira do Cáucaso","40.3, 47.3",Ásia,86600,82629.0,3971.0,estepe seco e semiárido
Bangladesh,"Sul da Ásia, na fronteira com a Baía de Bengala, entre a Birmânia e a Índia","24.0, 90.0",Ásia,148460,130170.0,18290.0,tropical;inverno leve (outubro a março);verão quente e úmido (março a junho);Monção úmida e quente chuvosa (junho a outubro)
Canadá,"Norte da América do Norte, na fronteira com o Oceano Atlântico Norte, a leste, o Oceano Pacífico Norte, a oeste e o Oceano Ártico, ao norte, norte do Conterminoso EUA","60.0, -95.0",América do Norte,9984670,9093507.0,891163.0,varia de temperado no sul para subártico e ártico no norte
Chile,"América do sul do sul, na fronteira com o Oceano Pacífico Sul, entre Argentina e Peru","-30.0, -71.0",Ámérica do Sul,756102,743812.0,12290.0,temperado;deserto no norte;Mediterrâneo na região central;Cool e úmido no sul
China,"Oriental Ásia, na fronteira com o Mar da China Oriental, Baía da Coréia, Mar Amarelo e Mar da China Meridional, entre a Coréia do Norte e o Vietnã","35.0, 105.0",Ásia,9596960,9326410.0,270550.0,extremamente diversificado;tropical no sul para a subártica no norte
Colômbia,"Norte da América do Sul, na fronteira com o Mar do Caribe, entre Panamá e Venezuela, e na fronteira com o Oceano Pacífico Norte, entre Equador e Panamá","4.0, -72.0",Ámérica do Sul,1138910,1038700.0,100210.0,tropical ao longo das planícies costeiras e orientais;mais frio em terras altas
Estados Unidos,"América do Norte, na fronteira com o Oceano Atlântico Norte e o Oceano Pacífico Norte, entre o Canadá e o México","38.0, -97.0",América do Norte,9833517,9147593.0,685924.0,"Principalmente temperado, mas tropical no Havaí e na Flórida, Ártico no Alasca, semiárido nas Grandes Planícies a oeste do rio Mississippi e árida na Grande Bacia do Sudoeste;As baixas temperaturas do inverno no noroeste são melhoradas ocasionalmente em janeiro e fevereiro por ventos quentes de chinook das encostas orientais das montanhas rochosas

Nota: Muitos consideram o Monte McKinley, o pico mais alto dos Estados Unidos, como a montanha mais fria do mundo por causa de sua combinação de alta elevação e sua localização subártica a 63 graus de latitude norte;Tampa permanente de neve e gelo mais de 75 % da montanha e enormes geleiras, até 45 milhas de comprimento e 3.700 pés de espessura, aranha fora de sua base em todas as direções;É o lar de alguns dos clima mais frio e violento do mundo, onde foram registrados ventos de mais de 150 milhas por hora e temperaturas de -93˚F."
Europa,"Europa entre o Oceano Atlântico Norte, no oeste e a Rússia, Bielorrússia e Ucrânia, a leste",,Europa,4236351,,,temperado frio;potencialmente subártico no norte para temperado;invernos molhados leves;Verões a seco quente no sul
Geórgia,"O sudoeste da Ásia, na fronteira com o Mar Negro, entre a Turquia e a Rússia, com uma lasca de terra ao norte do Cáucaso se estendendo à Europa;Nota - Georgia se vê como parte da Europa;Geopoliticamente, pode ser classificado como se enquadra na Europa, no Oriente Médio ou em ambos","42.0, 43.3",Ásia,69700,69700.0,0.0,"caloroso e agradável;Mediterrâneo, como uma costa do mar negro"
Grécia,"Sul da Europa, na fronteira com o mar do mar Egeu, o Mar de Ioniano e o Mar Mediterrâneo, entre a Albânia e a Turquia","39.0, 22.0",Europa,131957,130647.0,1310.0,temperado;invernos leves e úmidos;Verões quentes e secos
Guatemala,"América Central, na fronteira com o Oceano Pacífico, entre El Salvador e México, e na fronteira com o Golfo de Honduras (Mar do Caribe) entre Honduras e Belize","15.3, -90.15",América Central e o Caribe,108889,107159.0,1730.0,"tropical;Quente, úmido em planícies;mais frio em terras altas"
Haiti,"Caribe, oeste de um terço da ilha de Hispaniola, entre o Mar do Caribe e o Oceano Atlântico Norte, a oeste da República Dominicana","19.0, -72.25",América Central e o Caribe,27750,27560.0,190.0,tropical;semiário onde montanhas em leste cortar os ventos comerciais
Holanda,"Europa Ocidental, na fronteira com o Mar do Norte, entre Bélgica e Alemanha","52.31, 5.46",Europa,41543,33893.0,7650.0,temperado;marinho;Verões legais e invernos leves
Indonésia,"Sudeste da Ásia, arquipélago entre o Oceano Índico e o Oceano Pacífico","-5.0, 120.0",Sudeste Asiático,1904569,1811569.0,93000.0,"tropical;quente, úmido;mais moderado em terras altas"
Irã,"Oriente Médio, na fronteira com o Golfo de Omã, o Golfo Pérsico e o Mar Cáspio, entre o Iraque e o Paquistão","32.0, 53.0",Médio Oriente,1648195,1531595.0,116600.0,"Principalmente árido ou semiárido, subtropical ao longo da costa do Caspian"
Itália,"Sul da Europa, uma península que se estende ao Mar Mediterrâneo Central, a nordeste da Tunísia","42.5, 12.5",Europa,301340,294140.0,7200.0,"predominantemente mediterrâneo;alpino no extremo norte;Quente, seco no sul"
Japão,"Oriental Ásia, cadeia de ilhas entre o Oceano Pacífico Norte e o Mar do Japão, a leste da Península Coreana","36.0, 138.0",Ásia,377915,364485.0,13430.0,varia de tropical no sul para frio temperado no norte
Malta,"Sul da Europa, ilhas no Mar Mediterrâneo, ao sul da Sicília (Itália)","35.5, 14.35",Europa,316,316.0,0.0,Mediterrâneo;invernos leves e chuvosos;Verões quentes e secos
Noruega,"Norte da Europa, na fronteira com o Mar do Norte e o Oceano Atlântico Norte, oeste da Suécia","62.0, 10.0",Europa,323802,304282.0,19520.0,"temperado ao longo da costa, modificado pela corrente do Atlântico Norte;interior mais frio com aumento da precipitação e verões mais frios;Chuva o ano todo na costa oeste"
Paquistão,"Sul da Ásia, na fronteira com o Mar da Arábia, entre a Índia, a leste e o Irã e o Afeganistão, no oeste e a China, no norte","30.0, 70.0",Ásia,796095,770875.0,25220.0,Principalmente deserto quente e seco;temperado no noroeste;Ártico no norte
Peru,"América do Sul Ocidental, na fronteira com o Oceano Pacífico Sul, entre Chile e Equador","-10.0, -76.0",Ámérica do Sul,1285216,1279996.0,5220.0,varia de tropical no leste a deserto seco no oeste;temperado a frígido em Andes
Portugal,"Sudoeste da Europa, na fronteira com o Oceano Atlântico Norte, oeste da Espanha","39.3, -8.0",Europa,92090,91470.0,620.0,"temperado marítimo;fresco e chuvoso no norte, mais quente e seco no sul"
Rússia,"Norte da Ásia na fronteira com o Oceano Ártico, estendendo -se da Europa Oriental (a porção a oeste dos Urais) ao Oceano Pacífico Norte","60.0, 100.0",Ásia,17098242,16377742.0,720500.0,"varia de estepes no sul até a úmida continental em grande parte da Rússia européia;Subártico na Sibéria ao clima da tundra no norte polar;Os invernos variam de frio ao longo da costa do Mar Negro a Frígide, na Sibéria;Os verões variam de quente nas estepes para esfriar ao longo da costa do Ártico"
Síria,"Oriente Médio, na fronteira com o Mar Mediterrâneo, entre o Líbano e a Turquia","35.0, 38.0",Médio Oriente,187437,185887.0,1550.0,"Principalmente deserto;Verões quentes, secos e ensolarados (junho a agosto) e invernos leves e chuvosos (dezembro a fevereiro) ao longo da costa;Clima frio com neve ou granizo periodicamente em Damasco"
Tajiquistão,"Ásia Central, oeste da China, ao sul do Quirguistão","39.0, 71.0",Ásia,144100,141510.0,2590.0,"Continental de latitude média, verões quentes, invernos leves;semiário para polar nas montanhas Pamir"
Turquia,"O sudeste da Europa e o sudoeste da Ásia (a parte da Turquia a oeste do Bosporus faz parte geograficamente da Europa), na fronteira com o Mar Negro, entre Bulgária e Geórgia e na fronteira com o mar do mar Egeu e o Mar Mediterrâneo, entre Grécia e Síria","39.0, 35.0",Médio Oriente,783562,769632.0,13930.0,temperado;Verões quentes e secos com invernos leves e úmidos;Mais duro no interior
Venezuela,"Norte da América do Sul, na fronteira com o Mar do Caribe e o Oceano Atlântico Norte, entre a Colômbia e a Guiana","8.0, -66.0",Ámérica do Sul,912050,882050.0,30000.0,"tropical;quente, úmido;mais moderado em terras altas"
Índia,"Sul da Ásia, na fronteira com o Mar da Arábia e a Baía de Bengala, entre a Birmânia e o Paquistão","20.0, 77.0",Ásia,3287263,2973193.0,314070.0,varia de monção tropical no sul a temperado no norte
